date,total_sales
1/10/2018,"37,604,000"
2/10/2018,"108,434,636"
3/10/2018,"127,535,244"
4/10/2018,"55,082,128"
5/10/2018,"68,561,872"
6/10/2018,"31,912,000"
7/10/2018,"1,620,000"
8/10/2018,"173,001,732"
9/10/2018,"19,926,000"
10/10/2018,"46,086,000"
11/10/2018,"37,005,872"
12/10/2018,"89,545,180"
13/10/2018,"13,308,000"
14/10/2018,"2,382,000"
15/10/2018,"41,970,000"
16/10/2018,"30,546,000"
17/10/2018,"57,414,539"
18/10/2018,"56,722,000"
19/10/2018,"29,030,800"
20/10/2018,"17,676,000"
21/10/2018,"10,596,000"
22/10/2018,"128,649,000"
23/10/2018,"326,100,212"
24/10/2018,"63,068,000"
25/10/2018,"148,569,000"
26/10/2018,"22,036,904"
27/10/2018,"16,343,000"
28/10/2018,"6,828,000"
29/10/2018,"40,558,000"
30/10/2018,"60,733,000"
31/10/2018,"182,511,000"
1/11/2018,"174,404,000"
2/11/2018,"70,174,000"
3/11/2018,"26,544,000"
5/11/2018,"70,723,000"
6/11/2018,"127,186,000"
7/11/2018,"155,666,000"
8/11/2018,"132,021,048"
9/11/2018,"255,662,000"
10/11/2018,"38,376,854"
12/11/2018,"117,159,230"
13/11/2018,"20,971,000"
14/11/2018,"86,859,000"
15/11/2018,"45,570,000"
16/11/2018,"44,142,000"
17/11/2018,"24,954,000"
19/11/2018,"69,396,320"
20/11/2018,"55,293,296"
21/11/2018,"68,038,000"
22/11/2018,"14,354,000"
23/11/2018,"161,304,000"
24/11/2018,"19,956,000"
26/11/2018,"45,802,000"
27/11/2018,"367,099,266"
28/11/2018,"226,964,000"
29/11/2018,"157,434,000"
30/11/2018,"266,669,868"
1/12/2018,"139,133,000"
2/12/2018,"29,571,000"
3/12/2018,"170,404,000"
4/12/2018,"76,537,000"
5/12/2018,"121,700,280"
6/12/2018,"117,332,908"
7/12/2018,"61,202,020"
8/12/2018,"17,664,000"
9/12/2018,"3,678,000"
10/12/2018,"125,738,320"
11/12/2018,"65,355,000"
12/12/2018,"33,762,800"
13/12/2018,"97,212,564"
14/12/2018,"34,603,300"
15/12/2018,"38,690,000"
16/12/2018,"59,434,000"
17/12/2018,"374,199,000"
18/12/2018,"64,856,080"
19/12/2018,"102,385,680"
20/12/2018,"77,824,640"
21/12/2018,"53,708,000"
22/12/2018,"9,852,000"
23/12/2018,"7,176,000"
24/12/2018,"158,527,086"
25/12/2018,"108,118,320"
26/12/2018,"70,288,000"
27/12/2018,"28,027,000"
28/12/2018,"85,829,040"
29/12/2018,"126,416,249"
2/1/2019,"52,451,000"
3/1/2019,"139,608,380"
4/1/2019,"115,323,072"
5/1/2019,"42,624,000"
6/1/2019,"2,880,000"
7/1/2019,"93,144,000"
8/1/2019,"81,235,000"
9/1/2019,"80,114,000"
10/1/2019,"61,988,520"
11/1/2019,"101,831,488"
12/1/2019,"13,801,000"
13/01/2019,"13,896,000"
14/01/2019,"92,332,000"
15/01/2019,"89,669,360"
16/01/2019,"104,916,760"
17/01/2019,"45,023,000"
18/01/2019,"78,572,520"
19/01/2019,"33,078,000"
20/01/2019,"11,530,000"
21/01/2019,"87,706,582"
22/01/2019,"125,177,328"
23/01/2019,"46,252,000"
24/01/2019,"86,204,000"
25/01/2019,"49,620,000"
26/01/2019,"41,157,000"
27/01/2019,"7,428,000"
28/01/2019,"94,378,000"
29/01/2019,"45,937,504"
30/01/2019,"94,587,759"
31/01/2019,"52,429,899"
1/2/2019,"57,883,000"
2/2/2019,"8,239,000"
12/2/2019,"77,193,760"
13/02/2019,"80,733,000"
14/02/2019,"138,488,000"
15/02/2019,"118,491,108"
16/02/2019,"23,692,000"
17/02/2019,"15,964,000"
18/02/2019,"112,366,000"
19/02/2019,"451,085,560"
20/02/2019,"124,624,560"
21/02/2019,"153,669,748"
22/02/2019,"129,688,000"
23/02/2019,"74,327,800"
24/02/2019,"32,454,000"
25/02/2019,"177,322,000"
26/02/2019,"88,814,160"
27/02/2019,"97,243,000"
28/02/2019,"81,130,120"
1/3/2019,"78,784,000"
2/3/2019,"21,949,000"
4/3/2019,"117,822,000"
5/3/2019,"166,786,000"
6/3/2019,"76,193,000"
7/3/2019,"129,139,536"
8/3/2019,"240,496,000"
9/3/2019,"91,861,000"
10/3/2019,"22,284,000"
11/3/2019,"112,063,040"
12/3/2019,"98,661,000"
13/03/2019,"68,004,000"
14/03/2019,"51,014,760"
15/03/2019,"61,040,000"
16/03/2019,"98,616,000"
17/03/2019,"14,598,000"
18/03/2019,"121,289,409"
19/03/2019,"24,708,000"
20/03/2019,"144,572,000"
21/03/2019,"61,871,000"
22/03/2019,"26,200,000"
23/03/2019,"27,766,000"
24/03/2019,"32,730,000"
25/03/2019,"44,071,000"
26/03/2019,"121,234,640"
27/03/2019,"233,496,400"
28/03/2019,"186,060,000"
29/03/2019,"82,333,000"
30/03/2019,"69,966,000"
31/03/2019,"17,097,000"
1/4/2019,"169,072,100"
2/4/2019,"105,038,560"
3/4/2019,"36,674,000"
4/4/2019,"59,775,000"
5/4/2019,"142,243,144"
6/4/2019,"76,070,000"
7/4/2019,"19,812,000"
